Registry and File Locations: Table 1
Location,Notes
C:\Windows\system32\winevt\logs,Windows Event Logs default location
HKLM\SYSTEM\CurrentControlSet\Services\EventLog\,Registry path for this default location
%WinDir%\System32\Config,"SAM, SECURITY, SOFTWARE, SYSTEM, and DEFAULT hives location"
"HKLM, HKEY_USERS","SAM, SECURITY, SOFTWARE, SYSTEM, and DEFAULT hives on a live system"
SOFTWARE\Microsoft\Windows NT\CurrentVersion,"OS version, service pack, build number, release ID, installation type, installation date"
System\ControlSet001\Control\ComputerName\ComputerName,Computer name
System\Select\Current,Indicates which ControlSet is in use
System\ControlSet001\Control\TimeZoneInformation\Bias,"Difference between set local time and UTC in minutes, stored as 32b unsigned (RegExplorer can decode with Data Interpreter)"
System\ControlSet001\Control\TimeZoneInformation\TimeZoneKeyName,TZ name of the local system
“Last Write Time” field in the registry,Available only through export or with RegExplorer
System\ControlSet001\Control\Windows\ShutdownTime,"Last shutdown time (encoded with Windows FILETIME timestamp, use Data Interpreter to decode)"
HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power\Fast Startup\HiberbootEnabled,Fast Startup (enabled: 1)
SOFTWARE\Microsoft\Windows NT\CurrentVersion\NetworkCards,"Physical network cards connected to the system, organised by subkey. Each card is assigned a unique number, with associated GUID and adapter name."
SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces,List of available interfaces (physical or virtual). Subkeys are named after GUIDs of physical network cards 
SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{4D36E968-E325-11CE-BFC1-08002BE10318},"Example interface. Interesting keys: “EnableDHCP” (enabled: 1, indicates DHCP-assigned IP), “DhcpIPAddress” contains IP issued by DHCP server if assigned, “LeaseObtainedTime” shows when the DHCP IP adds was assigned, “DhcpNetworkHint” is a unique identifier (presented in hex) for each wireless network SSID, used to streamline connection to a prev accessed wireless network"
SOFTWARE\Microsoft\Windows NT\CurrentVersion\NetworkList\Signatures\Unmanaged,"Network Location Awareness: subkeys each represent a connection signature (record). The “ProfileGuid” value contains the GUID associated with a connection. “Description” describes the network, “FirstNetwork” is the SSID, “DefaultGatewayMac” contains WAP MAC address."
SOFTWARE\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles,"Contains subkeys (profiles), one for each connection. “ProfileName”, “Description”, “DatedCreated” (first time system connected to this network, encoded, can decode with RegExplorer), “NameType” indicates connection type (0x47 wireless, 0x6 wired, 0x17 broadband)"
SYSTEM >Applications and Services > Microsoft > Windows > WLAN-AutoConfig,
SYSTEM\ControlSet001\Services\LanmanServer\Shares,"Value “Users”, data “CATimeout”, “CSCFlags”, “MaxUses”, “Path”, “Permissions”, “Remark”, “ShareName”, “Type”"
C:\WINDOWS\system32\config\SAM,Security Account Manager registry hive
C:\WINDOWS\Repair\SAM,Backup SAM file
[root]\$Extend\$UsnJrnl,"$UsnJrnl file location, stores data for days on a busy system"
[root]\$MFT,
[root]\$LogFile,
[root]\$I30,
C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb,Windows Search database location
"C:\WINDOWS\Temp, C:\Users\<User>\[Desktop|Documents|Downloads|AppData], C:\WINDOWS\System32",Key directories for investigative analysis
SOFTWARE\Microsoft\Office\15.0\<Office App>\[File|Place] MRU,MSOffice MRU list
SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,Windows shell dialog box MRU list
Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,Explorer files MRU
Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU\,Entries executed with “run” dialog MRU
Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths,Entries manually typed in Windows Explorer location bar


Commands: Table 1
Command,Notes
reg.exe save hklm\sam C:\temp\sam.dump,Export SAM file
auditpol /set /category:”Object Access” /success:enable /failure:enable,Activate logging component from privileged cmd


Event IDs: Table 1
Event Log,Event ID,Event
System,1074,"Shutdown type (power off, shutdown, restart)"
System,6005,Event log service start (can be used for startup time)
System,6006,Event log service stop (shutdown time)
System,6008,Unexpected shutdown (e.g. hardware failure)
System,41,Kernel power error
System,8001,Successful connection to a wireless network
System,8003,Successful disconnect from a wireless network
Security,4624,Successful logon event
Security,4625,Failed logon event
Security,4634,"Account session terminated (logged off, or closed RDP session by clicking corner X."
Security,4647,"User initiated logoff. All 4647 events have a corresponding 4634, but not all 4634 will have a corresponding 4647 because a session can be terminated without logoff."
Security,4672,Special privileges assigned to new logon: generated when an account (incl. service account) with admin privileges logs on.
Security,4648,"Logon was attempted with explicit credentials, generated when an account logs in using a different privilege and has to explicitly enter creds (ie, the RUNAS command), or when UAC prompts a non-admin user to enter creds."
Security,4656,First event in the “Accessing an object” chain. Logged when an attempt is made regardless of success/failure.
Security,4660,Logged when an object is deleted.
,4663,Logged when the access attempt (4656) is successful
,4658,Logged when closing the handle to the object (when access ends).


Tools: Table 1
Tool,Notes
Registry Explorer,
Event Log Explorer,
TurnedOnTimeView,
wigle.net,Geolocation for WAPs using SSID and MAC address.
WifiHistoryView,Parses event logs and extracts connection times
Secretsdump.py,Can dump SAM file
CrackMapExe,Can dump SAM file
RegRipper,Can parse SAM file and export as a text file
R-studio,Can explore content of $MFT
MFTEcmd,"Tool of choice to parse $MFT, which produces a csv that can be read by Timeline Explorer"
Timeline Explorer,"Views CSVs and Excel files, filter/group/sort/etc"
FTK Imager,
NTFS Log Tracker,"Parses $LogFile and analyzes $LogFile, $USNJrnl, and $MFT. Also has a Suspicious Behavior Detection feature that can identify e.g. CCleaner data wiping (execution from a prefetch file)."
INDXRipper,Can parse $I30 files and export
WinSearchDBAnalyzer,"Can parse and explore Windows.edb, with option to recover deleted records that haven’t been overwritten yet."
